occurrence_id,scientific_name,common_name,taxonomic_group,conservation_status,site_name,site_code,latitude,longitude,coordinate_uncertainty_meters,observed_at,individual_count,observation_method,observer,confidence_score,is_threat_alert
GBIF-BIOINTEL-2026-0107,Bungarus caeruleus,Common Krait,Reptilia,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.02694,70.70665,10,2025-07-02 12:17:00,1,EDNA_ASSAY,Ranger Patrol Alpha,0.84,False
GBIF-BIOINTEL-2026-0108,Neofelis nebulosa,Clouded Leopard,Mammalia,VU,Sundarbans Mangrove Biosphere,SITE-SND-001,22.08665,88.93609,100,2026-07-08 10:15:00,1,HUMAN_OBSERVATION,Maya Lin,0.83,False
GBIF-BIOINTEL-2026-0109,Haliaeetus leucogaster,White-Bellied Sea-Eagle,Aves,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.65016,78.81085,10,2025-11-16 04:50:00,3,HUMAN_OBSERVATION,Dr. Aris Thorne,0.91,False
GBIF-BIOINTEL-2026-0110,Prionailurus viverrinus,Fishing Cat,Mammalia,VU,Sundarbans Mangrove Biosphere,SITE-SND-001,22.02653,88.87666,5,2025-06-08 11:50:00,1,CAMERA_TRAP,Maya Lin,0.85,False
GBIF-BIOINTEL-2026-0111,Moschus chrysogaster,Alpine Musk Deer,Mammalia,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.44448,77.09861,100,2026-06-17 02:30:00,1,DRONE_SURVEY,Maya Lin,0.84,True
GBIF-BIOINTEL-2026-0112,Varanus salvator,Water Monitor,Reptilia,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.80825,88.84369,5,2026-01-21 20:01:00,1,EDNA_ASSAY,Kavita Rao,0.89,False
GBIF-BIOINTEL-2026-0113,Melursus ursinus,Sloth Bear,Mammalia,VU,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.3745,96.26786,100,2025-07-12 10:38:00,1,DRONE_SURVEY,Ranger Patrol Alpha,0.93,False
GBIF-BIOINTEL-2026-0114,Channa marulius,Great Snakehead,Actinopterygii,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.10611,70.85163,100,2026-04-02 16:18:00,12,CAMERA_TRAP,Ranger Patrol Alpha,0.84,False
GBIF-BIOINTEL-2026-0115,Lantana camara,Lantana Weed,Plantae,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.48168,78.94605,50,2026-01-18 07:26:00,12,EDNA_ASSAY,Dr. Evelyn Vance,0.84,True
GBIF-BIOINTEL-2026-0116,Tor putitora,Golden Mahseer,Actinopterygii,EN,Manas Transboundary River Reserve,SITE-MNS-005,26.74228,90.89737,25,2025-08-18 21:59:00,2,CAMERA_TRAP,Citizen Science Network,0.89,True
GBIF-BIOINTEL-2026-0117,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.79889,76.58667,50,2026-03-28 17:35:00,1,PASSIVE_ACOUSTIC,Citizen Science Network,0.97,True
GBIF-BIOINTEL-2026-0118,Gavialis gangeticus,Gharial,Reptilia,CR,Sundarbans Mangrove Biosphere,SITE-SND-001,21.82108,88.85222,10,2026-04-04 09:22:00,1,HUMAN_OBSERVATION,Citizen Science Network,0.93,True
GBIF-BIOINTEL-2026-0119,Naja naja,Spectacled Cobra,Reptilia,LC,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.72878,93.37223,100,2026-03-12 11:07:00,1,EDNA_ASSAY,Tenzing Norgay Eco-Team,0.96,False
GBIF-BIOINTEL-2026-0120,Psittacula krameri,Rose-Ringed Parakeet,Aves,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,22.00081,88.7927,10,2025-06-15 05:17:00,6,PASSIVE_ACOUSTIC,Tenzing Norgay Eco-Team,0.82,False
GBIF-BIOINTEL-2026-0121,Hoolock hoolock,Western Hoolock Gibbon,Mammalia,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.60154,77.01753,50,2025-08-12 23:40:00,1,DRONE_SURVEY,Kavita Rao,0.86,True
GBIF-BIOINTEL-2026-0122,Buceros bicornis,Great Hornbill,Aves,VU,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.06731,70.95242,10,2025-12-07 09:46:00,2,DRONE_SURVEY,Maya Lin,0.97,False
GBIF-BIOINTEL-2026-0123,Manis crassicaudata,Indian Pangolin,Mammalia,EN,Sundarbans Mangrove Biosphere,SITE-SND-001,21.9172,88.88212,100,2025-10-18 14:42:00,1,EDNA_ASSAY,Dr. Aris Thorne,0.87,True
GBIF-BIOINTEL-2026-0124,Lantana camara,Lantana Weed,Plantae,LC,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.17355,70.81599,100,2025-07-27 09:43:00,1,PASSIVE_ACOUSTIC,Dr. Aris Thorne,0.86,True
GBIF-BIOINTEL-2026-0125,Alcedo atthis,Common Kingfisher,Aves,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.83117,88.77666,50,2025-11-02 06:49:00,2,PASSIVE_ACOUSTIC,Maya Lin,0.82,False
GBIF-BIOINTEL-2026-0126,Channa marulius,Great Snakehead,Actinopterygii,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.85008,76.80001,5,2026-02-28 22:14:00,2,PASSIVE_ACOUSTIC,Kavita Rao,0.89,False
GBIF-BIOINTEL-2026-0127,Rhizophora mangle,Red Mangrove,Plantae,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.91879,88.82133,5,2025-07-10 10:36:00,5,EDNA_ASSAY,Dr. Evelyn Vance,0.84,False
GBIF-BIOINTEL-2026-0128,Rhizophora mangle,Red Mangrove,Plantae,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.83101,76.58176,5,2026-05-20 11:05:00,10,EDNA_ASSAY,Kavita Rao,0.89,False
GBIF-BIOINTEL-2026-0129,Indirana beddomii,Beddome's Leaping Frog,Amphibia,LC,Manas Transboundary River Reserve,SITE-MNS-005,26.65044,91.02314,25,2025-09-22 10:49:00,9,CAMERA_TRAP,Dr. Evelyn Vance,0.91,False
GBIF-BIOINTEL-2026-0130,Ciconia boyciana,Oriental Stork,Aves,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.75918,76.73072,50,2025-07-23 04:16:00,3,CAMERA_TRAP,Kavita Rao,0.98,True
GBIF-BIOINTEL-2026-0131,Rhacophorus malabaricus,Malabar Gliding Frog,Amphibia,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.46193,96.37068,25,2026-04-18 10:09:00,5,PASSIVE_ACOUSTIC,Tenzing Norgay Eco-Team,0.92,False
GBIF-BIOINTEL-2026-0132,Python bivittatus,Burmese Python,Reptilia,VU,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.51707,93.44951,5,2026-01-23 14:02:00,1,CAMERA_TRAP,Tenzing Norgay Eco-Team,0.93,False
GBIF-BIOINTEL-2026-0133,Ficus benghalensis,Banyan Tree,Plantae,LC,Periyar Cardamom Hills Watershed,SITE-PER-007,9.53168,77.00231,100,2026-03-25 17:50:00,11,DRONE_SURVEY,Kavita Rao,0.85,False
GBIF-BIOINTEL-2026-0134,Cuon alpinus,Dhole / Asiatic Wild Dog,Mammalia,EN,Western Ghats Rainforest Corridor,SITE-WGH-003,10.96974,76.65303,10,2026-01-17 03:51:00,1,CAMERA_TRAP,Dr. Aris Thorne,0.91,True
GBIF-BIOINTEL-2026-0135,Eichhornia crassipes,Water Hyacinth,Plantae,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.56294,78.91917,25,2026-01-11 16:33:00,7,PASSIVE_ACOUSTIC,Ranger Patrol Alpha,0.89,True
GBIF-BIOINTEL-2026-0136,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,LC,Sundarbans Mangrove Biosphere,SITE-SND-001,21.95739,88.81597,100,2025-07-04 10:06:00,12,PASSIVE_ACOUSTIC,Citizen Science Network,0.96,False
GBIF-BIOINTEL-2026-0137,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.74243,76.65495,5,2025-07-12 18:42:00,3,EDNA_ASSAY,Dr. Evelyn Vance,0.92,False
GBIF-BIOINTEL-2026-0138,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,LC,Periyar Cardamom Hills Watershed,SITE-PER-007,9.52085,77.27413,50,2026-07-22 04:42:00,2,DRONE_SURVEY,Tenzing Norgay Eco-Team,0.93,False
GBIF-BIOINTEL-2026-0139,Rhinoceros unicornis,Greater One-Horned Rhinoceros,Mammalia,VU,Gir Asiatic Lion Sanctuary,SITE-GIR-006,21.25535,70.77252,10,2025-12-03 09:11:00,1,EDNA_ASSAY,Maya Lin,0.85,False
GBIF-BIOINTEL-2026-0140,Ophiophagus hannah,King Cobra,Reptilia,VU,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.73126,93.45054,25,2026-07-09 03:32:00,1,DRONE_SURVEY,Citizen Science Network,0.83,False
GBIF-BIOINTEL-2026-0141,Channa marulius,Great Snakehead,Actinopterygii,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.9494,76.78133,50,2025-08-18 05:11:00,12,HUMAN_OBSERVATION,Dr. Evelyn Vance,0.89,False
GBIF-BIOINTEL-2026-0142,Eichhornia crassipes,Water Hyacinth,Plantae,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.60456,78.94468,50,2026-04-09 09:48:00,4,DRONE_SURVEY,Citizen Science Network,0.87,True
GBIF-BIOINTEL-2026-0143,Tor putitora,Golden Mahseer,Actinopterygii,EN,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.5185,78.89453,10,2026-05-14 18:28:00,9,EDNA_ASSAY,Citizen Science Network,0.91,True
GBIF-BIOINTEL-2026-0144,Axis axis,Chital / Spotted Deer,Mammalia,LC,Jim Corbett Himalayan Foothills,SITE-CBT-004,29.52418,78.92136,100,2025-10-07 01:41:00,1,CAMERA_TRAP,Citizen Science Network,0.94,False
GBIF-BIOINTEL-2026-0145,Gavialis gangeticus,Gharial,Reptilia,CR,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.6348,93.35401,10,2025-07-13 05:17:00,1,EDNA_ASSAY,Citizen Science Network,0.84,True
GBIF-BIOINTEL-2026-0146,Naja naja,Spectacled Cobra,Reptilia,LC,Namdapha Eastern Himalayan Wilderness,SITE-NAM-008,27.44894,96.34219,25,2025-06-14 13:03:00,1,EDNA_ASSAY,Maya Lin,0.99,False
GBIF-BIOINTEL-2026-0147,Nasikabatrachus sahyadrensis,Purple Frog,Amphibia,EN,Sundarbans Mangrove Biosphere,SITE-SND-001,21.89059,88.74381,50,2025-07-21 22:41:00,5,CAMERA_TRAP,Ranger Patrol Alpha,0.98,True
GBIF-BIOINTEL-2026-0148,Prosopis juliflora,Mesquite Shrub,Plantae,LC,Western Ghats Rainforest Corridor,SITE-WGH-003,10.97176,76.5557,100,2026-01-16 19:00:00,3,HUMAN_OBSERVATION,Tenzing Norgay Eco-Team,0.91,True
GBIF-BIOINTEL-2026-0149,Moschus chrysogaster,Alpine Musk Deer,Mammalia,EN,Periyar Cardamom Hills Watershed,SITE-PER-007,9.40035,77.00432,100,2026-07-03 09:15:00,1,EDNA_ASSAY,Kavita Rao,0.93,True
GBIF-BIOINTEL-2026-0150,Moschus chrysogaster,Alpine Musk Deer,Mammalia,EN,Kaziranga Floodplain Sanctuary,SITE-KZR-002,26.50493,93.35461,25,2026-02-11 19:34:00,1,HUMAN_OBSERVATION,Kavita Rao,0.94,True
